"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 10월 29일","2,092.69","2,103.92","2,105.17","2,088.04","357.66M","-0.04%"
"2019년 10월 28일","2,093.60","2,096.67","2,104.39","2,089.76","269.23M","0.27%"
"2019년 10월 25일","2,087.89","2,091.16","2,091.24","2,079.30","348.69M","0.11%"
"2019년 10월 24일","2,085.66","2,089.85","2,089.85","2,067.90","367.72M","0.24%"
"2019년 10월 23일","2,080.62","2,086.81","2,088.25","2,074.88","429.45M","-0.39%"
"2019년 10월 22일","2,088.86","2,076.29","2,093.81","2,073.08","504.06M","1.16%"
"2019년 10월 21일","2,064.84","2,067.97","2,067.97","2,059.33","606.11M","0.20%"
"2019년 10월 18일","2,060.69","2,082.23","2,088.54","2,057.89","516.69M","-0.83%"
"2019년 10월 17일","2,077.94","2,081.76","2,087.15","2,072.49","314.18M","-0.23%"
"2019년 10월 16일","2,082.83","2,080.92","2,090.01","2,073.80","524.54M","0.71%"
"2019년 10월 15일","2,068.17","2,064.78","2,073.21","2,064.34","464.53M","0.04%"
"2019년 10월 14일","2,067.40","2,068.13","2,075.10","2,065.53","511.22M","1.11%"
"2019년 10월 11일","2,044.61","2,048.08","2,053.94","2,040.48","381.15M","0.81%"
"2019년 10월 10일","2,028.15","2,030.13","2,040.88","2,010.90","445.85M","-0.88%"
"2019년 10월 08일","2,046.25","2,029.37","2,046.81","2,024.63","437.52M","1.21%"
"2019년 10월 07일","2,021.73","2,031.53","2,034.94","2,016.19","322.18M","0.05%"
"2019년 10월 04일","2,020.69","2,028.40","2,039.43","2,020.69","402.94M","-0.55%"
"2019년 10월 02일","2,031.91","2,058.23","2,058.23","2,031.91","414.46M","-1.95%"
"2019년 10월 01일","2,072.42","2,062.44","2,077.48","2,057.91","389.34M","0.45%"
"2019년 09월 30일","2,063.05","2,045.77","2,064.99","2,042.01","327.62M","0.64%"
"2019년 09월 27일","2,049.93","2,066.96","2,066.96","2,044.75","285.94M","-1.19%"
"2019년 09월 26일","2,074.52","2,082.66","2,087.33","2,064.34","430.58M","0.05%"
"2019년 09월 25일","2,073.39","2,093.47","2,095.27","2,072.41","651.55M","-1.32%"
"2019년 09월 24일","2,101.04","2,090.19","2,101.63","2,085.91","535.77M","0.45%"
"2019년 09월 23일","2,091.70","2,087.70","2,095.54","2,085.60","420.95M","0.01%"
"2019년 09월 20일","2,091.52","2,080.86","2,092.37","2,077.30","589.92M","0.54%"
"2019년 09월 19일","2,080.35","2,070.53","2,089.81","2,070.53","493.04M","0.46%"
"2019년 09월 18일","2,070.73","2,064.42","2,075.63","2,058.52","613.15M","0.41%"
"2019년 09월 17일","2,062.33","2,058.72","2,066.33","2,055.17","508.00M","0.01%"
"2019년 09월 16일","2,062.22","2,056.26","2,062.22","2,044.80","493.52M","0.64%"
"2019년 09월 11일","2,049.20","2,043.72","2,050.80","2,040.04","429.08M","0.84%"
"2019년 09월 10일","2,032.08","2,024.79","2,034.28","2,021.58","504.39M","0.62%"
"2019년 09월 09일","2,019.55","2,013.38","2,029.80","2,013.28","511.82M","0.52%"
"2019년 09월 06일","2,009.13","2,016.11","2,017.20","2,005.69","384.44M","0.22%"
"2019년 09월 05일","2,004.75","1,993.62","2,015.39","1,992.51","488.07M","0.82%"
"2019년 09월 04일","1,988.53","1,962.43","1,988.53","1,962.08","348.72M","1.16%"
"2019년 09월 03일","1,965.69","1,966.50","1,976.37","1,960.15","342.08M","-0.18%"
"2019년 09월 02일","1,969.19","1,961.19","1,973.25","1,958.59","262.15M","0.07%"
"2019년 08월 30일","1,967.79","1,951.66","1,971.21","1,951.30","317.73M","1.78%"
"2019년 08월 29일","1,933.41","1,943.55","1,947.15","1,928.49","285.10M","-0.40%"
"2019년 08월 28일","1,941.09","1,929.96","1,943.62","1,926.43","284.34M","0.86%"
"2019년 08월 27일","1,924.60","1,928.98","1,937.42","1,919.28","427.04M","0.43%"
"2019년 08월 26일","1,916.31","1,915.34","1,924.49","1,909.92","324.85M","-1.64%"
"2019년 08월 23일","1,948.30","1,942.42","1,953.85","1,940.60","381.09M","-0.14%"
"2019년 08월 22일","1,951.01","1,966.60","1,967.96","1,951.01","435.56M","-0.69%"
"2019년 08월 21일","1,964.65","1,954.57","1,971.12","1,954.47","391.57M","0.22%"
"2019년 08월 20일","1,960.25","1,942.99","1,964.16","1,937.53","463.60M","1.05%"
"2019년 08월 19일","1,939.90","1,936.64","1,943.09","1,931.44","481.02M","0.66%"
